id	year	author	title	tags	link
000107307	1840	AREND, Johannes Pieter.	Algemeene geschiedenis der Vaderlands, van de vroegste tijden tot op heden. (dl. 3. stuk 2. Voortgezet door Mr. O. van Rees. dl. 3. stuk 3-5. Voortgezet door Mr. O. van Rees en Dr. W. G. Brill. dl. 4, 5. Voortgezet door Dr. J. van Vloten.) dl. 1-dl. 5. stuk 1
000107307	1840	AREND, Johannes Pieter.	Algemeene geschiedenis der Vaderlands, van de vroegste tijden tot op heden. (dl. 3. stuk 2. Voortgezet door Mr. O. van Rees. dl. 3. stuk 3-5. Voortgezet door Mr. O. van Rees en Dr. W. G. Brill. dl. 4, 5. Voortgezet door Dr. J. van Vloten.) dl. 1-dl. 5. stuk 1
000107307	1840	AREND, Johannes Pieter.	Algemeene geschiedenis der Vaderlands, van de vroegste tijden tot op heden. (dl. 3. stuk 2. Voortgezet door Mr. O. van Rees. dl. 3. stuk 3-5. Voortgezet door Mr. O. van Rees en Dr. W. G. Brill. dl. 4, 5. Voortgezet door Dr. J. van Vloten.) dl. 1-dl. 5. stuk 1
000107307	1840	AREND, Johannes Pieter.	Algemeene geschiedenis der Vaderlands, van de vroegste tijden tot op heden. (dl. 3. stuk 2. Voortgezet door Mr. O. van Rees. dl. 3. stuk 3-5. Voortgezet door Mr. O. van Rees en Dr. W. G. Brill. dl. 4, 5. Voortgezet door Dr. J. van Vloten.) dl. 1-dl. 5. stuk 1
000107307	1840	AREND, Johannes Pieter.	Algemeene geschiedenis der Vaderlands, van de vroegste tijden tot op heden. (dl. 3. stuk 2. Voortgezet door Mr. O. van Rees. dl. 3. stuk 3-5. Voortgezet door Mr. O. van Rees en Dr. W. G. Brill. dl. 4, 5. Voortgezet door Dr. J. van Vloten.) dl. 1-dl. 5. stuk 1
000107307	1840	AREND, Johannes Pieter.	Algemeene geschiedenis der Vaderlands, van de vroegste tijden tot op heden. (dl. 3. stuk 2. Voortgezet door Mr. O. van Rees. dl. 3. stuk 3-5. Voortgezet door Mr. O. van Rees en Dr. W. G. Brill. dl. 4, 5. Voortgezet door Dr. J. van Vloten.) dl. 1-dl. 5. stuk 1
000107307	1840	AREND, Johannes Pieter.	Algemeene geschiedenis der Vaderlands, van de vroegste tijden tot op heden. (dl. 3. stuk 2. Voortgezet door Mr. O. van Rees. dl. 3. stuk 3-5. Voortgezet door Mr. O. van Rees en Dr. W. G. Brill. dl. 4, 5. Voortgezet door Dr. J. van Vloten.) dl. 1-dl. 5. stuk 1
000107307	1840	AREND, Johannes Pieter.	Algemeene geschiedenis der Vaderlands, van de vroegste tijden tot op heden. (dl. 3. stuk 2. Voortgezet door Mr. O. van Rees. dl. 3. stuk 3-5. Voortgezet door Mr. O. van Rees en Dr. W. G. Brill. dl. 4, 5. Voortgezet door Dr. J. van Vloten.) dl. 1-dl. 5. stuk 1
000107307	1840	AREND, Johannes Pieter.	Algemeene geschiedenis der Vaderlands, van de vroegste tijden tot op heden. (dl. 3. stuk 2. Voortgezet door Mr. O. van Rees. dl. 3. stuk 3-5. Voortgezet door Mr. O. van Rees en Dr. W. G. Brill. dl. 4, 5. Voortgezet door Dr. J. van Vloten.) dl. 1-dl. 5. stuk 1
000107307	1840	AREND, Johannes Pieter.	Algemeene geschiedenis der Vaderlands, van de vroegste tijden tot op heden. (dl. 3. stuk 2. Voortgezet door Mr. O. van Rees. dl. 3. stuk 3-5. Voortgezet door Mr. O. van Rees en Dr. W. G. Brill. dl. 4, 5. Voortgezet door Dr. J. van Vloten.) dl. 1-dl. 5. stuk 1
000107307	1840	AREND, Johannes Pieter.	Algemeene geschiedenis der Vaderlands, van de vroegste tijden tot op heden. (dl. 3. stuk 2. Voortgezet door Mr. O. van Rees. dl. 3. stuk 3-5. Voortgezet door Mr. O. van Rees en Dr. W. G. Brill. dl. 4, 5. Voortgezet door Dr. J. van Vloten.) dl. 1-dl. 5. stuk 1
000107307	1840	AREND, Johannes Pieter.	Algemeene geschiedenis der Vaderlands, van de vroegste tijden tot op heden. (dl. 3. stuk 2. Voortgezet door Mr. O. van Rees. dl. 3. stuk 3-5. Voortgezet door Mr. O. van Rees en Dr. W. G. Brill. dl. 4, 5. Voortgezet door Dr. J. van Vloten.) dl. 1-dl. 5. stuk 1
000107307	1840	AREND, Johannes Pieter.	Algemeene geschiedenis der Vaderlands, van de vroegste tijden tot op heden. (dl. 3. stuk 2. Voortgezet door Mr. O. van Rees. dl. 3. stuk 3-5. Voortgezet door Mr. O. van Rees en Dr. W. G. Brill. dl. 4, 5. Voortgezet door Dr. J. van Vloten.) dl. 1-dl. 5. stuk 1
000107310	1841	AREND, Johannes Pieter.	Specimens out of the English Poets of the Nineteenth Century. Collected and published for the use of the students in that language, by J. P. Arend
000116297	1840	ARMSTRONG, John	Notices of the War of 1812
000116297	1840	ARMSTRONG, John	Notices of the War of 1812
000118945	1840	ARNOLD, August Ernst Gotthold Jacob.	Umrisse und Studien zur Geschichte der Menschheit
000120150	1845	ARNOLD, Thomas	History of the later Roman Commonwealth, from the end of the Second Punic War to the death of Julius Cæsar; and of the reign of Augustus: with a life of Trajan ... Republished from “The Encyclopædia Metropolitana.” [With a preface by Bonamy Price.]
000120150	1845	ARNOLD, Thomas	History of the later Roman Commonwealth, from the end of the Second Punic War to the death of Julius Cæsar; and of the reign of Augustus: with a life of Trajan ... Republished from “The Encyclopædia Metropolitana.” [With a preface by Bonamy Price.]
000120152	1841	ARNOLD, Thomas	Inaugural Lecture on the Study of Modern History; delivered ... Dec. 2, 1841
000120153	1841	ARNOLD, Thomas	Inaugural Lecture on the Study of Modern History; delivered ... Dec. 2, 1841.]
000120154	1842	ARNOLD, Thomas	Introductory Lectures on Modern History ... with the inaugural lecture delivered in December, MDCCCXLI
000122277	1842	ARRIANUS, Flavius.	Ἀρριανος. Ἀνονυμοι τρεις. Ἀγαθημερος. Τεμαχια δυο. Arriani periplus Ponti Euxini. Anonymi periplus Ponti Euxini, qui Arriano falso adscribitur. Anonymi periplus Ponti Euxini et Maeotidis Paludis. Anonymi mensura Ponti Euxini. Agathemeri hypotyposes geographiae. Fragmenta duo geographica. Graece et Latine. Additis H. Dodwelli, F. Osanni aliorumque dissertationibus, atque Stuckii, Tennulii, Vossii ... suisque notis, edidit S. F. G. Hoffmann
000122458	1840	ARRIGONI, Giuseppe.	Notizie storiche della Valsassina e delle terre limitrofe dalla più rimota fino alla presente età, raccolte ed ordinate dall' ingegnere G. Arrigoni
000122644	1839	ARROWSMITH, Aron	A Compendium of Ancient and Modern Geography ... New and improved edition
000122988	1848	ARSEN'EV, Konstantin Ivanovich.	Статистическіе очерки Россіи
000122989	1839	ARSEN'EV, Konstantin Ivanovich.	Царствованіе Петра II. Сочиненіе ... читанное въ собраніи Императорской Россійской Академіи 2 Іюля 1838
000125792	1846	ARWIDSSON, Adolf Iwar.	Handlingar till upplysning af Finlands häfder. Utgifne af A. I. Arwidsson
000125792	1846	ARWIDSSON, Adolf Iwar.	Handlingar till upplysning af Finlands häfder. Utgifne af A. I. Arwidsson
000125792	1846	ARWIDSSON, Adolf Iwar.	Handlingar till upplysning af Finlands häfder. Utgifne af A. I. Arwidsson
000125792	1846	ARWIDSSON, Adolf Iwar.	Handlingar till upplysning af Finlands häfder. Utgifne af A. I. Arwidsson
000125792	1846	ARWIDSSON, Adolf Iwar.	Handlingar till upplysning af Finlands häfder. Utgifne af A. I. Arwidsson
000125792	1846	ARWIDSSON, Adolf Iwar.	Handlingar till upplysning af Finlands häfder. Utgifne af A. I. Arwidsson
