id	year	author	title	tags	link
1908__34__Bertrand W. Sinclair__Raw Gold_distribution_gutenberg.txt	1908	Bertrand W. Sinclair	Raw Gold		https://www.gutenberg.org/ebooks/18563
1876__25__Various__Lippincott's Magazine of Popular Literature and Science,  April, 1876._distribution_gutenberg.txt	1876	Various	Lippincott ' s Magazine of Popular Literature and Science,  April, 1876.		https://www.gutenberg.org/ebooks/13242
1921__7__Donald Maxwell__A Dweller in Mesopotamia_distribution_gutenberg.txt	1921	Donald Maxwell	A Dweller in Mesopotamia		https://www.gutenberg.org/ebooks/
1880__59__Richard Jefferies__Hodge and His Masters_distribution_gutenberg.txt	1880	Richard Jefferies	Hodge and His Masters		https://www.gutenberg.org/ebooks/
1840__0__Edward Feild__Extracts from a Journal of a Voyage of Visitation in the "Hawk," 1859_distribution_gutenberg.txt	1840	Edward Feild	Extracts from a Journal of a Voyage of Visitation in the "Hawk," 1859		https://www.gutenberg.org/ebooks/
1904__7__Nicholas Carter__With Links of Steel_distribution_gutenberg.txt	1904	Nicholas Carter	With Links of Steel		https://www.gutenberg.org/ebooks/
1859__33__Various__Atlantic Monthly, Vol. 3, No. 18, April, 1859_distribution_gutenberg.txt	1859	Various	Atlantic Monthly, Vol. 3, No. 18, April, 1859		https://www.gutenberg.org/ebooks/11525
1915__16__Annie Heloise Abel__The American Indian as Participant in the Civil War_distribution_gutenberg.txt	1915	Annie Heloise Abel	The American Indian as Participant in the Civil War		https://www.gutenberg.org/ebooks/12541
1918__7__Gertrude Atherton__The White Morning_distribution_gutenberg.txt	1918	Gertrude Atherton	The White Morning		https://www.gutenberg.org/ebooks/
1906__20__Mrs. Humphry Ward__Fenwick's Career_distribution_gutenberg.txt	1906	Mrs. Humphry Ward	Fenwick ' s Career		https://www.gutenberg.org/ebooks/
1854__45__Sue Petigru Bowen__The Actress in High Life_distribution_gutenberg.txt	1854	Sue Petigru Bowen	The Actress in High Life		https://www.gutenberg.org/ebooks/
1917__7__Martin Brown Ruud__An Essay Toward a History of Shakespeare in Norway_distribution_gutenberg.txt	1917	Martin Brown Ruud	An Essay Toward a History of Shakespeare in Norway		https://www.gutenberg.org/ebooks/16416
1922__38__Edwin Bjorkman__The Soul of a Child_distribution_gutenberg.txt	1922	Edwin Bjorkman	The Soul of a Child		https://www.gutenberg.org/ebooks/12283
1866__2__William Holmes McGuffey__McGuffey's First Eclectic Reader, Revised Edition_distribution_gutenberg.txt	1866	William Holmes McGuffey	McGuffey ' s First Eclectic Reader, Revised Edition		https://www.gutenberg.org/ebooks/14640
1906__44__Walter W. Greg__Pastoral Poetry and Pastoral Drama_distribution_gutenberg.txt	1906	Walter W. Greg	Pastoral Poetry and Pastoral Drama		https://www.gutenberg.org/ebooks/12218
1877__10__John Richard Green__History of the English People, Volume I (of 8)_distribution_gutenberg.txt	1877	John Richard Green	History of the English People, Volume I (of 8)		https://www.gutenberg.org/ebooks/
1909__25__Various__Atlantic Monthly, Vol. 7, No. 44, June, 1861_distribution_gutenberg.txt	1909	Various	Atlantic Monthly, Vol. 7, No. 44, June, 1861		https://www.gutenberg.org/ebooks/12285
1832__0__Various__The Mirror of Literature, Amusement, and Instruction, No. 578_distribution_gutenberg.txt	1832	Various	The Mirror of Literature, Amusement, and Instruction, No. 578		https://www.gutenberg.org/ebooks/14008
1823__5__Various__Essays in Liberalism_distribution_gutenberg.txt	1823	Various	Essays in Liberalism		https://www.gutenberg.org/ebooks/17294
1920__10__A. Clutton-Brock__Essays on Art_distribution_gutenberg.txt	1920	A. Clutton-Brock	Essays on Art		https://www.gutenberg.org/ebooks/16178
1876__4__Francis Burnand__Punch, Volume 101, September 19, 1891_distribution_gutenberg.txt	1876	Francis Burnand	Punch, Volume 101, September 19, 1891		https://www.gutenberg.org/ebooks/13961
1909__14__Miss Parloa__Chocolate and Cocoa Recipes and Home Made Candy Recipes_distribution_gutenberg.txt	1909	Miss Parloa	Chocolate and Cocoa Recipes and Home Made Candy Recipes		https://www.gutenberg.org/ebooks/13177
1916__31__Anton Chekhov__The Bishop and Other Stories_distribution_gutenberg.txt	1916	Anton Chekhov	The Bishop and Other Stories		https://www.gutenberg.org/ebooks/13419
1912__2__Various__Obed Hussey_distribution_gutenberg.txt	1912	Various	Obed Hussey		https://www.gutenberg.org/ebooks/19547
1918__21__Mrs. Humphrey Ward__Elizabeth's Campaign_distribution_gutenberg.txt	1918	Mrs. Humphrey Ward	Elizabeth ' s Campaign		https://www.gutenberg.org/ebooks/
1738__0__Anonymous__The Twelve Tables_distribution_gutenberg.txt	1738	Anonymous	The Twelve Tables		https://www.gutenberg.org/ebooks/14783
1827__9__Edmund Burke__The Works of the Right Honourable Edmund Burke, Vol. VII. (of 12)_distribution_gutenberg.txt	1827	Edmund Burke	The Works of the Right Honourable Edmund Burke, Vol. VII. (of 12)		https://www.gutenberg.org/ebooks/16292
1930__12__Laura Lee Hope__The Bobbsey Twins in a Great City_distribution_gutenberg.txt	1930	Laura Lee Hope	The Bobbsey Twins in a Great City		https://www.gutenberg.org/ebooks/15169
1862__18__Cassiodorus (AKA Magnus Aurelius Cassiodorus Senator)__The Letters of Cassiodorus_distribution_gutenberg.txt	1862	Cassiodorus (AKA Magnus Aurelius Cassiodorus Senator)	The Letters of Cassiodorus		https://www.gutenberg.org/ebooks/18590
1897__0__Joseph Ladue__Klondyke Nuggets_distribution_gutenberg.txt	1897	Joseph Ladue	Klondyke Nuggets		https://www.gutenberg.org/ebooks/10043
1891__0__Allen Wilson Porterfield__Graf von Loeben and the Legend of Lorelei_distribution_gutenberg.txt	1891	Allen Wilson Porterfield	Graf von Loeben and the Legend of Lorelei		https://www.gutenberg.org/ebooks/
1859__0__F. Haverfield__Roman Britain in 1914_distribution_gutenberg.txt	1859	F. Haverfield	Roman Britain in 1914		https://www.gutenberg.org/ebooks/19115
1871__50__M. E. Braddon__Fenton's Quest_distribution_gutenberg.txt	1871	M. E. Braddon	Fenton ' s Quest		https://www.gutenberg.org/ebooks/
1923__14__H. A. Cody__The King's Arrow_distribution_gutenberg.txt	1923	H. A. Cody	The King ' s Arrow		https://www.gutenberg.org/ebooks/
1908__2__Clyde Fitch__The Girl with the Green Eyes_distribution_gutenberg.txt	1908	Clyde Fitch	The Girl with the Green Eyes		https://www.gutenberg.org/ebooks/19101
1913__18__Anne Austin__Murder at Bridge_distribution_gutenberg.txt	1913	Anne Austin	Murder at Bridge		https://www.gutenberg.org/ebooks/
1899__2__Thomas Perkins__Bell's Cathedrals: Wimborne Minster and Christchurch Priory_distribution_gutenberg.txt	1899	Thomas Perkins	Bell ' s Cathedrals: Wimborne Minster and Christchurch Priory		https://www.gutenberg.org/ebooks/
1825__11__Various__The Wonders of Prayer_distribution_gutenberg.txt	1825	Various	The Wonders of Prayer		https://www.gutenberg.org/ebooks/11553
1876__4__Various__Punch, or the London Charivari, Vol. 153, Aug 15, 1917_distribution_gutenberg.txt	1876	Various	Punch, or the London Charivari, Vol. 153, Aug 15, 1917		https://www.gutenberg.org/ebooks/11169
1895__40__Edward Washburn Hopkins__The Religions of India_distribution_gutenberg.txt	1895	Edward Washburn Hopkins	The Religions of India		https://www.gutenberg.org/ebooks/14499
1858__28__James Anthony Froude__The Reign of Henry the Eighth, Volume 1 (of 3)_distribution_gutenberg.txt	1858	James Anthony Froude	The Reign of Henry the Eighth, Volume 1 (of 3)		https://www.gutenberg.org/ebooks/
1876__2__Various__Punch, Or The London Charivari, Volume 102, July 2, 1892_distribution_gutenberg.txt	1876	Various	Punch, Or The London Charivari, Volume 102, July 2, 1892		https://www.gutenberg.org/ebooks/14787
1882__15__Lilian Bell__At Home with the Jardines_distribution_gutenberg.txt	1882	Lilian Bell	At Home with the Jardines		https://www.gutenberg.org/ebooks/
1921__23__Margaret Rebecca Piper__Wild Wings_distribution_gutenberg.txt	1921	Margaret Rebecca Piper	Wild Wings		https://www.gutenberg.org/ebooks/11165
1924__45__Florence L. Barclay__The White Ladies of Worcester_distribution_gutenberg.txt	1924	Florence L. Barclay	The White Ladies of Worcester		https://www.gutenberg.org/ebooks/16368
1898__7__Stuart Dodgson Collingwood__The Life and Letters of Lewis Carroll_distribution_gutenberg.txt	1898	Stuart Dodgson Collingwood	The Life and Letters of Lewis Carroll		https://www.gutenberg.org/ebooks/11483
1922__84__Fannie Hurst__The Vertical City_distribution_gutenberg.txt	1922	Fannie Hurst	The Vertical City		https://www.gutenberg.org/ebooks/12659
1887__2__Mowbray Morris__Claverhouse_distribution_gutenberg.txt	1887	Mowbray Morris	Claverhouse		https://www.gutenberg.org/ebooks/
1884__2__Various__Bay State Monthly, Volume I, No. 2, February, 1884_distribution_gutenberg.txt	1884	Various	Bay State Monthly, Volume I, No. 2, February, 1884		https://www.gutenberg.org/ebooks/15924
1897__0__Various__The Great Round World and What Is Going On In It, Vol. 1, No. 16, February 25, 1897_distribution_gutenberg.txt	1897	Various	The Great Round World and What Is Going On In It, Vol. 1, No. 16, February 25, 1897		https://www.gutenberg.org/ebooks/15326
1893__8__Jonas Lie__Weird Tales from Northern Seas_distribution_gutenberg.txt	1893	Jonas Lie	Weird Tales from Northern Seas		https://www.gutenberg.org/ebooks/13508
1728__23__Daniel Defoe__Military Memoirs of Capt. George Carleton_distribution_gutenberg.txt	1728	Daniel Defoe	Military Memoirs of Capt. George Carleton		https://www.gutenberg.org/ebooks/14436
1921__27__William MacLeod Raine__Gunsight Pass_distribution_gutenberg.txt	1921	William MacLeod Raine	Gunsight Pass		https://www.gutenberg.org/ebooks/14574
1914__30__Maurice Leblanc__The Teeth of the Tiger_distribution_gutenberg.txt	1914	Maurice Leblanc	The Teeth of the Tiger		https://www.gutenberg.org/ebooks/13058
