uri,label
http://vocab.getty.edu/aat/300379033,tegengif
http://vocab.getty.edu/aat/300379033,antidota
http://vocab.getty.edu/aat/300014109,paper (fiber product)
http://vocab.getty.edu/aat/300014109,papers (fiber products)
http://vocab.getty.edu/aat/300014109,amatl
http://vocab.getty.edu/aat/300014109,papier
http://vocab.getty.edu/aat/300014109,papier (vezelproduct)
http://vocab.getty.edu/aat/300014109,papel de amate
http://vocab.getty.edu/aat/300014109,amameh tlen amate
http://vocab.getty.edu/aat/300014109,amatl amate
http://vocab.getty.edu/aat/300014109,amate
http://vocab.getty.edu/aat/300014109,Papier
http://vocab.getty.edu/aat/300014109,carta
http://vocab.getty.edu/aat/300014109,papir
http://vocab.getty.edu/aat/300014109,papir
http://vocab.getty.edu/aat/300014109,papel (papel)
http://vocab.getty.edu/aat/300014109,papel
http://vocab.getty.edu/aat/300014109,papper
http://vocab.getty.edu/aat/300080663,antistatic agent
http://vocab.getty.edu/aat/300080663,"additive, antistatic"
http://vocab.getty.edu/aat/300080663,"agent, antistatic"
http://vocab.getty.edu/aat/300080663,anti-static additive
http://vocab.getty.edu/aat/300080663,antistatic additive
http://vocab.getty.edu/aat/300080663,antistatic treatment
http://vocab.getty.edu/aat/300080663,"treatment, antistatic"
http://vocab.getty.edu/aat/300080663,抗靜電劑
http://vocab.getty.edu/aat/300080663,kàng jìng diàn jì
http://vocab.getty.edu/aat/300080663,kang jing dian ji
http://vocab.getty.edu/aat/300080663,k'ang ching tien chi
http://vocab.getty.edu/aat/300080663,antistatisch middel
http://vocab.getty.edu/aat/300080663,agente antiestático
http://vocab.getty.edu/aat/300389811,chemicals (materials)
http://vocab.getty.edu/aat/300389811,chemical (material)
http://vocab.getty.edu/aat/300389811,chemicaliën
http://vocab.getty.edu/aat/300379776,supercritical fluid
http://vocab.getty.edu/aat/300379776,supercritical fluids
http://vocab.getty.edu/aat/300379776,"fluid, supercritical"
http://vocab.getty.edu/aat/300379776,SCF
http://vocab.getty.edu/aat/300379776,superkritische vloeistof
http://vocab.getty.edu/aat/300379776,superkritische vloeistoffen
http://vocab.getty.edu/aat/300265590,conditioner
http://vocab.getty.edu/aat/300265590,conditioner
http://vocab.getty.edu/aat/300265590,Conditioner
http://vocab.getty.edu/aat/300265590,Pflegespülung (Haarspülung)
http://vocab.getty.edu/aat/300265590,Pflegespülungen (Haarspülungen)
http://vocab.getty.edu/aat/300265590,Spülung (Haarspülung)
http://vocab.getty.edu/aat/300265590,Spülungen (Haarspülungen)
http://vocab.getty.edu/aat/300014842,artists' materials
http://vocab.getty.edu/aat/300014842,schilder- en tekenmateriaal
http://vocab.getty.edu/aat/300014842,artists' supplies
http://vocab.getty.edu/aat/300014842,artist supplies
http://vocab.getty.edu/aat/300014842,art materials
http://vocab.getty.edu/aat/300014842,material artístico
http://vocab.getty.edu/aat/300014842,art supplies
http://vocab.getty.edu/aat/300014842,"materials, art"
http://vocab.getty.edu/aat/300014842,"materials, artists'"
http://vocab.getty.edu/aat/300014842,"supplies, artists'"
http://vocab.getty.edu/aat/300014842,materiais artísticos
http://vocab.getty.edu/aat/300014842,material artístico
http://vocab.getty.edu/aat/300014245,papier mâché
http://vocab.getty.edu/aat/300014245,papier mâché
http://vocab.getty.edu/aat/300014245,papier-mâché
http://vocab.getty.edu/aat/300014245,papier-mâché
http://vocab.getty.edu/aat/300014245,papier mache
http://vocab.getty.edu/aat/300014245,paper-mache
http://vocab.getty.edu/aat/300014245,papier-maché
http://vocab.getty.edu/aat/300014245,papier mouille
